web_scraper_order,web_scraper_start_url,detail_url,title,location,difficulty_level,duration,distance,physical_demand,ascent,descent,target_group,season,recommended_period
"1766396865-197","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1562/Ein-Hauch-von-Arktis-im-Toggenburg","Ein Hauch von Arktis im Toggenburg","Wildhaus Oberdorf
                                                                                                    • SG","","3h 50min","10km","hoch","415m","415m","","Winter","Dezember - März"
"1766396867-198","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1561/Stille-Ecke-des-Oberengadins","Stille Ecke des Oberengadins","La Punt-Chamues-ch
                                                                    — Cinous-chel-Brail
                                                                                                    • GR","","4h 55min","15.5km","hoch","260m","330m","","Winter","Dezember - März"
"1766396869-199","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1560/Durch-das-stille-Schenkenbergtal","Durch das stille Schenkenbergtal","Schinznach Dorf, Oberdorf
                                                                    — Biberstein, Dorf
                                                                                                    • AG","T1","3h 45min","11.8km","mittel","600m","595m","","ganzjährig","Januar - Dezember"
"1766396872-200","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1559/Wintervielfalt-im-Goms","Wintervielfalt im Goms","Münster VS
                                                                    — Biel VS
                                                                                                    • VS","","3h 40min","10.8km","hoch","255m","330m","","Winter","Dezember - März"
"1766396874-201","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1558/Winterzauber-im-Entlebuch","Winterzauber im Entlebuch","Heiligkreuz
                                                                                                    • LU","","2h 10min","5.8km","mittel","310m","310m","für Familien","Winter","Dezember - Februar"
"1766396877-202","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1557/Tiefblick-im-Kandertal","Tiefblick im Kandertal","Kandersteg
                                                                                                    • BE","","2h 5min","6.2km","tief","160m","160m","","Winter","Dezember - Februar"
"1766396879-203","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1569/Aussichtsreiche-Schneeschuhtour-im-Jura","Aussichtsreiche Schneeschuhtour im Jura","Col de la Vue des Alpes
                                                                                                    • NE","","2h 45min","7km","mittel","225m","225m","","Winter","Dezember - März"
"1766396881-204","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1568/Auf-Schneeschuhen-zum-Passwang","Auf Schneeschuhen zum Passwang","Wasserfallen
                                                                                                    • BL","","3h 10min","5km","mittel","370m","370m","für schwindelfreie Menschen","Winter","Dezember - März"
"1766396884-205","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1566/Winter-im-Valle-di-Muggio","Winter im Valle di Muggio","Bruzella, Paese
                                                                    — Vacallo, Piazza
                                                                                                    • TI","T1","2h 50min","9km","mittel","380m","615m","","ganzjährig","Januar - Dezember"
"1766396886-206","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1565/Dem-Gabelbach-entlang-nach-Bern","Dem Gäbelbach entlang nach Bern","Rosshäusern
                                                                    — Eymatt b. Bern, Camping
                                                                                                    • BE","T1","2h 55min","11.5km","mittel","255m","335m","","ganzjährig","Januar - Dezember"
"1766396889-207","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1564/Wintersonne-im-Chablais","Wintersonne im Chablais","Villars-sur-Ollon
                                                                    — Villars-sur-Ollon Golf
                                                                                                    • VD","","2h 50min","7.6km","hoch","405m","30m","","Winter","Dezember - März"
"1766396892-208","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1563/Weisses-Weideland-im-Berner-Jura","Weisses Weideland im Berner Jura","Les Prés-d'Orvin, Bellevue
                                                                                                    • BE","","3h 25min","10.3km","hoch","315m","315m","","Winter","Dezember - Februar"
"1766396894-209","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1575/Schneeschuhtour-auf-der-Mullernalp","Schneeschuhtour auf der Mullernalp","Naturfreundehaus Fronalp
                                                                                                    • GL","","2h 20min","4.2km","mittel","280m","280m","","Winter","Dezember - März"
"1766396899-210","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1574/Der-Heinzenberg-und-seine-Kirche","Der Heinzenberg und seine Kirche","Obertschappina, Skilift
                                                                                                    • GR","","5h 50min","16.2km","hoch","685m","685m","","Winter","Dezember - März"
"1766396902-211","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1573/Der-Schamserberg-und-seine-Kirchen","Der Schamserberg und seine Kirchen","Lohn GR, Dorf
                                                                    — Mathon, Muntsulej
                                                                                                    • GR","","3h 25min","8.9km","hoch","430m","470m","","Winter","Dezember - März"
"1766396904-212","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1571/Bock-auf-den-Gabris-zu-wandern","Bock, auf den Gäbris zu wandern?","Gais
                                                                                                    • AR","T1","3h 5min","10.2km","mittel","475m","475m","für Familien","ganzjährig","Januar - Dezember"
"1766396907-213","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1570/Rundweg-auf-dem-Col-du-Marchairuz","Rundweg auf dem Col du Marchairuz","Col du Marchairuz
                                                                                                    • VD","","3h 0min","7.4km","mittel","285m","290m","","Winter","Dezember - März"
"1766396909-214","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1599/Durch-geheimnisvollen-Winterwald","Durch geheimnisvollen Winterwald","Mostelberg, Bergstation
                                                                                                    • SZ","","4h 20min","8.8km","hoch","455m","455m","","Winter","Dezember - März"
"1766396911-215","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1438/Sonnenterrasse-uber-dem-Saastal","Sonnenterrasse über dem Saastal","Gspon
                                                                                                    • VS","","3h 5min","6.5km","mittel","305m","305m","für Familien","Winter","Dezember - März"
"1766396914-216","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1553/Sonne-geniessen-vor-den-schattigen-Diablerets","Sonne geniessen vor den schattigen Diablerets","Col-du-Pillon, Glacier 3000
                                                                                                    • VD","","1h 50min","5km","mittel","185m","185m","für Familien","Winter","Dezember - März"
"1766396916-217","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1597/Hohenwandern-im-Oberaargau","Höhenwandern im Oberaargau","Dürrenroth
                                                                                                    • BE","T1","3h 50min","13.8km","mittel","510m","510m","für Familien","ganzjährig","März - November"
"1766396919-218","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1604/Tunnelgang-im-Scherligrabe","Tunnelgang im Scherligrabe","Niederscherli
                                                                    — Thörishaus Dorf
                                                                                                    • BE","T1","1h 40min","6.7km","tief","100m","180m","für Familien","ganzjährig","Januar - Dezember"
"1766396921-219","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1600/Einzigartiger-Morteratschgletscher","Einzigartiger Morteratschgletscher","Morteratsch
                                                                                                    • GR","","1h 55min","6.1km","tief","155m","155m","für Familien","Winter","Dezember - März"
"1766396923-220","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1616/Rundwanderung-im-Herzen-der-Zentralschweiz","Rundwanderung im Herzen der Zentralschweiz","Andermatt, Brücke
                                                                                                    • UR","","1h 30min","3.1km","tief","195m","195m","","Winter","Dezember - März"
"1766396926-221","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1615/Zeitlos-im-Val-Sinestra","Zeitlos im Val Sinestra","Vnà, Jalmèr
                                                                                                    • GR","","4h 10min","11.8km","hoch","355m","355m","","Winter","Dezember - März"
"1766396928-222","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1614/Winterliche-Tour-im-Tal-der-Salentse","Winterliche Tour im Tal der Salentse","Morthey, centre
                                                                                                    • VS","","2h 40min","7.6km","mittel","295m","295m","","Winter","Dezember - März"
"1766396930-223","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1613/Vom-Turren-zum-Schonbuel","Vom Turren zum Schönbüel","Turren
                                                                                                    • OW","","4h 15min","7.9km","hoch","585m","585m","","Winter","Dezember - März"
"1766396932-224","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1612/Gut-Kirschen-essen-im-Schwarzbubenland","Gut Kirschen essen im Schwarzbubenland","Nuglar, Dorfplatz
                                                                                                    • BL","T1","1h 15min","4.2km","tief","180m","180m","","ganzjährig","Januar - Dezember"
"1766396935-225","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1621/Mit-dem-Bielersee-im-Rucken","Mit dem Bielersee im Rücken","Gerolfingen
                                                                    — Studen
                                                                                                    • BE","T1","3h 0min","11.7km","mittel","260m","325m","für Familien","ganzjährig","April - Oktober"
"1766396937-226","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1620/Den-Piz-Darlux-GR-besteigen","Den Piz Darlux GR besteigen","Alp Darlux
                                                                                                    • GR","","2h 45min","3km","hoch","360m","360m","für schwindelfreie Menschen","Winter","Dezember - März"
"1766396940-227","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1619/Winterwandern-am-Faulhorn","Winterwandern am Faulhorn","First (Grindelwald)
                                                                    — Bussalp
                                                                                                    • BE","","4h 40min","10.4km","hoch","580m","945m","für Familien","Winter","Dezember - März"
"1766396942-228","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1618/Vom-Eigental-auf-s-Rageflueli","Vom Eigental auf's Rägeflüeli","Eigenthal, Talboden
                                                                                                    • LU","","5h 40min","9.6km","hoch","625m","625m","für Familien","Winter","Dezember - Februar"
"1766396945-229","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1617/Auf-Schneeschuhen-uber-dem-Vispertal","Auf Schneeschuhen über dem Vispertal","Visperterminen, Busterminal
                                                                                                    • VS","","3h 30min","7.5km","mittel","345m","345m","","Winter","Dezember - März"
"1766396947-230","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1628/Durchs-Leimental-nach-Basel","Durchs Leimental nach Basel","Hofstetten SO, Unterdorf
                                                                    — Basel SBB
                                                                                                    • SO","T1","3h 55min","14.6km","mittel","285m","460m","","ganzjährig","April - Oktober"
"1766396950-231","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1626/Am-Ufer-des-Neuenburgersees","Am Ufer des Neuenburgersees","Chevroux, port
                                                                    — Portalban, village
                                                                                                    • VD","T1","1h 45min","7km","tief","65m","65m","für Familien","ganzjährig","Januar - Dezember"
"1766396952-232","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1625/Ein-Tag-an-der-Alten-Aare","Ein Tag an der Alten Aare","Dotzigen
                                                                    — Aarberg
                                                                                                    • BE","T1","3h 10min","13.1km","mittel","105m","90m","für Familien","ganzjährig","Januar - Dezember"
"1766396955-233","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1624/Dem-Wasser-entlang-durch-das-Seeland","Dem Wasser entlang durch das Seeland","Aarberg
                                                                    — Biel / Bienne
                                                                                                    • BE","T1","5h 30min","22.1km","hoch","165m","185m","","ganzjährig","Januar - Dezember"
"1766396960-234","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1623/Stadtspaziergang-durch-Biel","Stadtspaziergang durch Biel","Biel / Bienne
                                                                                                    • BE","T1","2h 50min","10.9km","mittel","195m","195m","","ganzjährig","März - Oktober"
"1766396962-235","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1637/Rasante-Fahrt-auf-dem-Hasliberg-BE","Rasante Fahrt auf dem Hasliberg BE","Käserstatt
                                                                    — Lischen
                                                                                                    • BE","","1h 55min","6.5km","mittel","120m","460m","für Familien","Winter","Dezember - März"
"1766396965-236","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1636/Schneeschuhwanderung-im-Toggenburg","Schneeschuhwanderung im Toggenburg","Selamatt
                                                                                                    • SG","","2h 10min","4.9km","mittel","255m","255m","für Familien","Winter","Dezember - März"
"1766396967-237","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1635/Urbane-Wanderung-in-Montreux-VD","Urbane Wanderung in Montreux VD","Château-de-Chillon
                                                                    — Auditorium Stravinsky
                                                                                                    • VD","T1","1h 0min","4.1km","tief","25m","25m","für Familien","ganzjährig","Januar - Dezember"
"1766396969-238","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1630/Hoch-uber-dem-Gurbetal","Hoch über dem Gürbetal","Rüeggisberg, Post
                                                                    — Gschneit
                                                                                                    • BE","T1","2h 5min","7.5km","tief","250m","235m","für Familien","ganzjährig","Januar - Dezember"
"1766396972-239","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1642/Fernsicht-und-Gipfelschau-im-Voralpengebiet","Fernsicht und Gipfelschau im Voralpengebiet","Linden, Dorf
                                                                    — Oberdiessbach
                                                                                                    • BE","T1","3h 15min","11.3km","mittel","380m","695m","für Familien","ganzjährig","April - Oktober"
"1766396974-240","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1646/Neuenburg-die-gelbe-Stadt","Neuenburg, die «gelbe Stadt»","Neuchâtel
                                                                    — St-Blaise, CFF
                                                                                                    • NE","T1","2h 20min","9.4km","tief","100m","115m","für Familien","ganzjährig","Januar - Dezember"
"1766396976-241","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1653/Auf-schattigen-Pfaden-rund-um-Grimentz","Auf schattigen Pfaden rund um Grimentz","Grimentz, pl. du Mélèze
                                                                                                    • VS","T1","3h 10min","9.5km","mittel","470m","470m","für Familien","ganzjährig","Januar - Dezember"
"1766396978-242","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1677/Streifzug-durch-das-Grauholz-bei-Bern","Streifzug durch das Grauholz bei Bern","Habstetten, Rössli
                                                                                                    • BE","T1","1h 45min","6.3km","tief","200m","200m","für Familien","ganzjährig","April - Oktober"
"1766396981-243","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1688/Durch-Solothurner-und-Aargauer-Auenlandschaften","Durch Solothurner und Aargauer Auenlandschaften","Olten
                                                                    — Aarau
                                                                                                    • SO","T1","4h 25min","18.4km","mittel","135m","150m","","ganzjährig","Januar - Dezember"
"1766396983-244","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1687/Wintersonne-im-Engelbergertal","Wintersonne im Engelbergertal","Brunni
                                                                    — Engelberg
                                                                                                    • OW","","4h 5min","12.8km","hoch","20m","880m","","Winter","Dezember - März"
"1766396986-245","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1686/Hohenwege-in-der-Surselva","Höhenwege in der Surselva","Andiast, posta
                                                                    — Breil/Brigels, posta
                                                                                                    • GR","","4h 40min","12.3km","hoch","560m","460m","","Winter","Dezember - Februar"
"1766396988-246","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1685/Rundtour-auf-Schneeschuhen-im-Greyerzerland","Rundtour auf Schneeschuhen im Greyerzerland","La Valsainte, Couvent
                                                                                                    • FR","Blau","4h 15min","9.7km","hoch","395m","395m","","Winter","Dezember - Februar"
"1766396990-247","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1684/Am-Sonnenhang-von-Grindelwald","Am Sonnenhang von Grindelwald","Bussalp
                                                                    — Grindelwald, Mühlebach Schule
                                                                                                    • BE","","3h 15min","9.2km","mittel","145m","785m","","Winter","Dezember - März"
"1766396992-248","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1683/Hugeltour-im-Appenzellerland","Hügeltour im Appenzellerland","Schwägalp, Säntis-Schwebebahn
                                                                    — Kronberg
                                                                                                    • AR","Blau","3h 5min","5.5km","mittel","485m","185m","","Winter","Januar - März"
"1766396995-249","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1693/Schneeschuhtour-auf-der-Ibergeregg","Schneeschuhtour auf der Ibergeregg","Ibergeregg
                                                                                                    • SZ","Blau","1h 20min","3.1km","tief","195m","195m","für Familien","Winter","Dezember - März"
"1766396997-250","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1692/Weitsicht-im-Luzerner-Hinterland","Weitsicht im Luzerner Hinterland","Wauwil
                                                                    — Alberswil, Dorf
                                                                                                    • LU","T1","2h 40min","10.3km","mittel","230m","215m","für Familien","ganzjährig","Februar - April"
"1766396999-251","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1691/Schattenspiele-im-Val-d-Anniviers","Schattenspiele im Val d’Anniviers","Vercorin, poste
                                                                    — Grimentz, Carovilla
                                                                                                    • VS","","4h 30min","13.4km","hoch","505m","265m","","Winter","Februar - März"
"1766397002-252","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1690/Weisse-Weiden-im-Waadtlander-Jura","Weisse Weiden im Waadtländer Jura","La Givrine
                                                                                                    • VD","","2h 50min","9km","mittel","225m","225m","","Winter","Dezember - März"
"1766397004-253","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1689/Am-Sonnenhang-des-Bellinzonese","Am Sonnenhang des Bellinzonese","Bellinzona
                                                                    — Gudo, Serta
                                                                                                    • TI","T2","3h 20min","11km","mittel","405m","415m","","ganzjährig","September - Mai"
"1766397007-254","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1698/Kurz-an-die-Sonne-oberhalb-Locarno","Kurz an die Sonne oberhalb Locarno","Cardada (Funivia)
                                                                    — Capanna Cimetta
                                                                                                    • TI","Blau","1h 50min","3.1km","hoch","350m","35m","","Winter","Januar - März"
"1766397010-255","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1696/Auf-der-Rigi-Scheidegg","Auf der Rigi Scheidegg","Rigi Scheidegg
                                                                                                    • SZ","Blau","2h 0min","5.1km","mittel","230m","230m","","Winter","Dezember - März"
"1766397012-256","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1695/Winterwandern-durch-Surses-in-zwei-Akten","Winterwandern durch Surses in zwei Akten","Cunter, vischnanca
                                                                    — Riom, vischnanca
                                                                                                    • GR","","2h 40min","7.6km","mittel","285m","215m","für Familien","Winter","Dezember - März"
"1766397016-257","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1694/Im-Hochmoor-von-Rothenthurm","Im Hochmoor von Rothenthurm","Rothenthurm
                                                                                                    • SZ","","2h 10min","6.8km","tief","45m","45m","","Winter","Dezember - Februar"
"1766397020-258","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=5","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1709/Im-Val-Terbi","Im Val Terbi","Courchapoix, village
                                                                                                    • JU","T1","3h 10min","12.4km","mittel","340m","340m","für Familien","ganzjährig","Januar - Dezember"
"1766397023-259","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=5","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1701/Zu-den-Geissen-auf-Sattel-Hochstuckli","Zu den Geissen auf Sattel-Hochstuckli","Sattel Mostelberg
                                                                                                    • SZ","","1h 50min","5.4km","mittel","215m","215m","für Familien","Winter","Dezember - Februar"
